"cid","Name","MinValue","MaxValue","AvgValue","year","chamber","Origin","Source"
"N00024882","Katherine Harris (R-Fla)","7836025","36996000","22416012","2006","H","Center for Responsive Politics",""
"N00024813","Rahm Emanuel (D-Ill)","9025022","33201000","21113011","2006","H","Center for Responsive Politics",""
"N99999960","Michael Leavitt","7144059","34209997","20677028","2006","E","Center for Responsive Politics",""
"N00009920","Richard C. Shelby (R-Ala)","5243021","35695001","20469011","2006","S","Center for Responsive Politics",""
"N00012672","Steve Pearce (R-NM)","7566013","33215000","20390506","2006","H","Center for Responsive Politics",""
"N00009637","C. L. "Butch" Otter (R-Idaho)","8864132","31716000","20290066","2006","H","Center for Responsive Politics",""
"N00000480","Olympia J. Snowe (R-Maine)","9626062","28300001","18963031","2006","S","Center for Responsive Politics",""
"N00006932","David Dreier (R-Calif)","7082064","29910000","18496032","2006","H","Center for Responsive Politics",""
"N00027655","Heath Shuler (D-NC)","3125453","33386432","18255942","2006","H","Center for Responsive Politics",""
"N00003660","Paul E. Gillmor (R-Ohio)","5448040","27971999","16710019","2006","H","Center for Responsive Politics",""
"N00000615","Rosa L. DeLauro (D-Conn)","5846026","27124999","16485512","2006","H","Center for Responsive Politics",""
"N99999924","Ruth Bader Ginsburg","6665015","25580000","16122507","2006","J","Center for Responsive Politics",""
"N99999920","David H. Souter","5615004","26330000","15972502","2006","J","Center for Responsive Politics",""
"N00026710","Kenny Marchant (R-Texas)","7932963","23984913","15958938","2006","H","Center for Responsive Politics",""
"N00013869","Michael E. Sodrel (R-Ind)","4746007","26780998","15763502","2006","H","Center for Responsive Politics",""
"N00004133","Fred Upton (R-Mich)","6749122","24587000","15668061","2006","H","Center for Responsive Politics",""
"N00006518","Jeff Bingaman (D-NM)","8164267","23039001","15601634","2006","S","Center for Responsive Politics",""
"N00008072","George W. Bush (R)","7627022","20692976","14159999","2006","E","Center for Responsive Politics",""
"N00007124","Christopher Cox","9196040","18790000","13993020","2006","E","Center for Responsive Politics",""
